,128
-12.0,1.4205206632614136
-11.692307692307692,1.3808320760726929
-11.384615384615385,1.3395103216171265
-11.076923076923077,1.2961137294769287
-10.76923076923077,1.253858208656311
-10.461538461538462,1.2060562372207642
-10.153846153846153,1.1579967737197876
-9.846153846153847,1.1078221797943115
-9.538461538461538,1.0613198280334473
-9.23076923076923,1.0091476440429688
-8.923076923076923,0.960289716720581
-8.615384615384615,0.9072217345237732
-8.307692307692307,0.8583595752716064
-8.0,0.8147028088569641
-7.692307692307692,0.7780025005340576
-7.384615384615384,0.7365113496780396
-7.076923076923077,0.7086120247840881
-6.769230769230769,0.6901315450668335
-6.461538461538462,0.6938595175743103
-6.153846153846153,0.6934758424758911
-5.846153846153846,0.713581919670105
-5.538461538461538,0.7573866844177246
-5.23076923076923,0.7971979379653931
-4.9230769230769225,0.8627405166625977
-4.615384615384615,0.8955514430999756
-4.3076923076923075,0.9355514645576477
-4.0,0.9775310754776001
-3.6923076923076916,1.0267531871795654
-3.3846153846153832,1.0776958465576172
-3.0769230769230766,1.1733317375183105
-2.7692307692307683,1.233798861503601
-2.4615384615384617,1.3919878005981445
-2.1538461538461533,1.592661738395691
-1.846153846153845,1.7943394184112549
-1.5384615384615383,2.0250203609466553
-1.23076923076923,2.21514630317688
-0.9230769230769234,2.3025848865509033
-0.615384615384615,2.3025848865509033
-0.3076923076923066,2.3025848865509033
0.0,2.3025848865509033
