,128
-12.0,1.8580269813537598
-11.692307692307692,1.8278740644454956
-11.384615384615385,1.798149824142456
-11.076923076923077,1.7682634592056274
-10.76923076923077,1.738089680671692
-10.461538461538462,1.707602620124817
-10.153846153846153,1.6766197681427002
-9.846153846153847,1.6456987857818604
-9.538461538461538,1.6148014068603516
-9.23076923076923,1.5836268663406372
-8.923076923076923,1.5519300699234009
-8.615384615384615,1.5192182064056396
-8.307692307692307,1.48527991771698
-8.0,1.4498522281646729
-7.692307692307692,1.4120486974716187
-7.384615384615384,1.3712055683135986
-7.076923076923077,1.3269199132919312
-6.769230769230769,1.2787537574768066
-6.461538461538462,1.2267330884933472
-6.153846153846153,1.171664834022522
-5.846153846153846,1.112421989440918
-5.538461538461538,1.0529550313949585
-5.23076923076923,0.9918431043624878
-4.9230769230769225,0.9352238178253174
-4.615384615384615,0.8842841386795044
-4.3076923076923075,0.8430461883544922
-4.0,0.819383442401886
-3.6923076923076916,0.8071386814117432
-3.3846153846153832,0.8101564645767212
-3.0769230769230766,0.8282796740531921
-2.7692307692307683,0.8724514245986938
-2.4615384615384617,0.9048988223075867
-2.1538461538461533,0.9810072183609009
-1.846153846153845,1.068279504776001
-1.5384615384615383,1.226081132888794
-1.23076923076923,1.4437888860702515
-0.9230769230769234,1.6255755424499512
-0.615384615384615,1.7849993705749512
-0.3076923076923066,2.053083658218384
0.0,
