,128
-12.0,1.8440675735473633
-11.692307692307692,1.828599452972412
-11.384615384615385,1.8151969909667969
-11.076923076923077,1.8018099069595337
-10.76923076923077,1.788185715675354
-10.461538461538462,1.7742854356765747
-10.153846153846153,1.7586846351623535
-9.846153846153847,1.740700125694275
-9.538461538461538,1.7212464809417725
-9.23076923076923,1.702606201171875
-8.923076923076923,1.681981086730957
-8.615384615384615,1.6615535020828247
-8.307692307692307,1.639628291130066
-8.0,1.6173232793807983
-7.692307692307692,1.5966465473175049
-7.384615384615384,1.578726053237915
-7.076923076923077,1.5614409446716309
-6.769230769230769,1.5456706285476685
-6.461538461538462,1.5467897653579712
-6.153846153846153,1.5402244329452515
-5.846153846153846,1.5481834411621094
-5.538461538461538,1.5653462409973145
-5.23076923076923,1.6018493175506592
-4.9230769230769225,1.6264736652374268
-4.615384615384615,1.6765955686569214
-4.3076923076923075,1.715717077255249
-4.0,1.7647290229797363
-3.6923076923076916,2.041982412338257
-3.3846153846153832,2.1291842460632324
-3.0769230769230766,2.139322280883789
-2.7692307692307683,2.0967798233032227
-2.4615384615384617,2.1271684169769287
-2.1538461538461533,2.1504781246185303
-1.846153846153845,2.295078754425049
-1.5384615384615383,2.2999789714813232
-1.23076923076923,2.300915002822876
-0.9230769230769234,2.302311420440674
-0.615384615384615,2.302419900894165
-0.3076923076923066,2.3025848865509033
0.0,2.3025848865509033
